v1,v2
ham,Meeting at 4PM today bro. Confirm?
spam,Your device has virus. Install this app to clean
ham,Happy Birthday bhai 🎉
spam,🎉 Congratulations! You won ₹SBI lakh. Claim now: goo.gl/claim729 Share bank details http://secure-link405.in
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftHDFC (malware risk)
ham,Flipkart: Your package will arrive tomorrow.
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800HDFC Urgent! Click now or lose access."
ham,Happy Birthday bhai 🎉
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobSBI http://secure-link754.in
ham,Meeting at 4PM today bro. Confirm?
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Happy Birthday bhai 🎉
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Your device has virus. Install this app to clean
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800HDFC http://secure-link112.in"
ham,Your Google verification code is 29359. Never share.
spam,Amazon delivery failed. Call 1800HDFC or order cancelled. Urgent! Click now or lose access. http://secure-link634.in
ham,OTP for Paytm login: 67578. Do not share.
ham,Your Google verification code is 33896. Never share.
ham,Airtel Thanks: Bill paid Rs.499.
ham,Amazon order #AMZ65451 delivered successfully. Rate now.
spam,Electricity bill overdue Rs.Union. Pay now or power cut: pay.bill287.in http://secure-link112.in
spam,Electricity bill overdue Rs.Axis. Pay now or power cut: pay.bill813.in
ham,Flipkart: Your package will arrive tomorrow.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftUnion (malware risk)
spam,Income tax refund ₹25000 pending. Share PAN now bit.ly/urgent
spam,KYC registration of random person detected on your number. Verify: link bit.ly/urgent
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winSBI
ham,Happy Birthday bhai 🎉
ham,Meeting at 4PM today bro. Confirm?
ham,UPI payment successful Rs.299
ham,Happy Birthday bhai 🎉
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftHDFC (malware risk)
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxHDFC Urgent! Click now or lose access. http://secure-link599.in
ham,Amazon order #AMZ48660 delivered successfully. Rate now.
ham,UPI payment successful Rs.299
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyUnion
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link762.in
ham,Your Google verification code is 41001. Never share.
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill571.in http://secure-link561.in
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access. http://secure-link649.in
ham,Airtel Thanks: Bill paid Rs.499.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyHDFC Urgent! Click now or lose access. http://secure-link284.in
spam,New Year reward ₹1000 from Jio. Claim gift link bit.ly/urgent
ham,Meeting at 4PM today bro. Confirm?
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Papa accident. Transfer Rs.5000 urgently to this number.
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftAxis (malware risk) Urgent! Click now or lose access.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftHDFC (malware risk)
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access. http://secure-link614.in
spam,"Dear customer, your HDFC account will be blocked today. Update KYC immediately: bit.ly/550. Do not ignore!"
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill375.in
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postAxis Urgent! Click now or lose access.
ham,Your Google verification code is 69107. Never share.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxSBI Urgent! Click now or lose access.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankSBI.in Urgent! Click now or lose access. http://secure-link871.in
ham,Amazon order #AMZ25410 delivered successfully. Rate now.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,KYC registration of random person detected on your number. Verify: link
ham,Amazon order #AMZ31303 delivered successfully. Rate now.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,OTP for Paytm login: 30287. Do not share.
ham,Flipkart: Your package will arrive tomorrow.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxSBI Urgent! Click now or lose access.
ham,Happy Birthday bhai 🎉
ham,Meeting at 4PM today bro. Confirm?
ham,Happy Birthday bhai 🎉
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx
ham,Your Google verification code is 80680. Never share.
ham,Bro where are you?
ham,OTP for Paytm login: 49598. Do not share.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankUnion.in http://secure-link527.in
spam,Device infected! Call Microsoft 1800HDFC now to fix.
ham,OTP for Paytm login: 70541. Do not share.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftSBI (malware risk) Urgent! Click now or lose access.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftSBI (malware risk) Urgent! Click now or lose access.
spam,🎉 Congratulations! You won ₹Union lakh. Claim now: goo.gl/claim479 Share bank details
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis Urgent! Click now or lose access. http://secure-link443.in"
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Papa accident. Transfer Rs.5000 urgently to this number.
spam,"Dear customer, your HDFC account will be blocked today. Update KYC immediately: bit.ly/121. Do not ignore! Urgent! Click now or lose access."
spam,"Dear customer, your SBI account will be blocked today. Update KYC immediately: bit.ly/365. Do not ignore!"
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC
ham,Airtel Thanks: Bill paid Rs.499.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis http://secure-link208.in
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postSBI
spam,Device infected! Call Microsoft 1800SBI now to fix. http://secure-link409.in
ham,Your Google verification code is 57215. Never share.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftSBI (malware risk)
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postUnion
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Device infected! Call Microsoft 1800Union now to fix. http://secure-link414.in
spam,Device infected! Call Microsoft 1800SBI now to fix. http://secure-link340.in
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800SBI Urgent! Click now or lose access. http://secure-link690.in"
ham,Swiggy order on the way ETA 15 min
ham,OTP for Paytm login: 90839. Do not share.
ham,Your Google verification code is 1716. Never share.
ham,Happy Birthday bhai 🎉
ham,Happy Birthday bhai 🎉
ham,Your Google verification code is 11332. Never share.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankHDFC.in http://secure-link256.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Amazon delivery failed. Call 1800HDFC or order cancelled.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyHDFC
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftHDFC (malware risk)
ham,Airtel Thanks: Bill paid Rs.499.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Income tax refund ₹25000 pending. Share PAN now bit.ly/urgent
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link736.in
spam,Electricity bill overdue Rs.SBI. Pay now or power cut: pay.bill608.in
ham,Airtel Thanks: Bill paid Rs.499.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,OTP for Paytm login: 64997. Do not share.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankHDFC.in http://secure-link842.in
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242
ham,OTP for Paytm login: 29001. Do not share.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobUnion http://secure-link898.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,OTP for Paytm login: 29192. Do not share.
spam,Amazon delivery failed. Call 1800Union or order cancelled. Urgent! Click now or lose access. http://secure-link729.in
ham,Flipkart: Your package will arrive tomorrow.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobSBI http://secure-link319.in
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access.
spam,Papa accident. Transfer Rs.5000 urgently to this number.
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankSBI.in
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postAxis
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access. http://secure-link279.in
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Your Google verification code is 36550. Never share.
ham,Meeting at 4PM today bro. Confirm?
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis"
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Meeting at 4PM today bro. Confirm?
ham,Happy Birthday bhai 🎉
ham,Meeting at 4PM today bro. Confirm?
spam,Traffic challan Rs.Union. Pay or vehicle seized: paytm.me/ch962 Urgent! Click now or lose access.
ham,OTP for Paytm login: 81179. Do not share.
spam,Papa accident. Transfer Rs.5000 urgently to this number.
ham,Your Google verification code is 86542. Never share.
spam,Electricity bill overdue Rs.Union. Pay now or power cut: pay.bill438.in Urgent! Click now or lose access. http://secure-link399.in
spam,Income tax refund ₹25000 pending. Share PAN now
ham,Flipkart: Your package will arrive tomorrow.
ham,Bro where are you?
spam,Income tax refund ₹25000 pending. Share PAN now
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800SBI Urgent! Click now or lose access. http://secure-link603.in"
ham,Meeting at 4PM today bro. Confirm?
ham,Meeting postponed to tomorrow
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion
ham,Airtel Thanks: Bill paid Rs.499.
ham,OTP for Paytm login: 23402. Do not share.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyHDFC
spam,Traffic challan Rs.SBI. Pay or vehicle seized: paytm.me/ch567
ham,Airtel Thanks: Bill paid Rs.499.
ham,Meeting postponed to tomorrow
ham,Flipkart: Your package will arrive tomorrow.
spam,Amazon delivery failed. Call 1800Union or order cancelled. Urgent! Click now or lose access. http://secure-link443.in
spam,Device infected! Call Microsoft 1800SBI now to fix. Urgent! Click now or lose access. http://secure-link182.in
ham,Meeting postponed to tomorrow
ham,Meeting postponed to tomorrow
ham,Happy Birthday bhai 🎉
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis
spam,Papa accident. Transfer Rs.5000 urgently to this number. http://secure-link875.in
ham,Meeting at 4PM today bro. Confirm?
spam,"Dear customer, your Union account will be blocked today. Update KYC immediately: bit.ly/187. Do not ignore!"
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobSBI
ham,Your Google verification code is 61131. Never share.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link427.in
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Electricity bill overdue Rs.Union. Pay now or power cut: pay.bill767.in http://secure-link936.in
ham,Flipkart: Your package will arrive tomorrow.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Papa accident. Transfer Rs.5000 urgently to this number. http://secure-link801.in
spam,KYC registration of random person detected on your number. Verify: link
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobUnion http://secure-link431.in
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link200.in
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Union http://secure-link364.in"
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftSBI (malware risk)
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyAxis Urgent! Click now or lose access. http://secure-link885.in
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Union Urgent! Click now or lose access. http://secure-link204.in"
spam,Amazon delivery failed. Call 1800Union or order cancelled. http://secure-link534.in
ham,Meeting at 4PM today bro. Confirm?
ham,Flipkart: Your package will arrive tomorrow.
ham,Flipkart: Your package will arrive tomorrow.
ham,OTP for Paytm login: 74250. Do not share.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobAxis
ham,Your Google verification code is 9071. Never share.
ham,OTP for Paytm login: 11334. Do not share.
spam,Traffic challan Rs.Axis. Pay or vehicle seized: paytm.me/ch213 http://secure-link778.in
spam,Device infected! Call Microsoft 1800HDFC now to fix.
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access. http://secure-link871.in
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyHDFC Urgent! Click now or lose access. http://secure-link586.in
ham,Amazon order #AMZ51234 delivered successfully. Rate now.
ham,Amazon order #AMZ87745 delivered successfully. Rate now.
spam,Device infected! Call Microsoft 1800SBI now to fix.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Meeting at 4PM today bro. Confirm?
ham,OTP for Paytm login: 80800. Do not share.
ham,OTP for Paytm login: 43978. Do not share.
ham,OTP for Paytm login: 92241. Do not share.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Airtel Thanks: Bill paid Rs.499.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxSBI
ham,Amazon order #AMZ29137 delivered successfully. Rate now.
spam,Electricity bill overdue Rs.Axis. Pay now or power cut: pay.bill607.in
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankHDFC.in http://secure-link697.in
ham,Airtel Thanks: Bill paid Rs.499.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Your Google verification code is 47174. Never share.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifySBI
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobUnion Urgent! Click now or lose access. http://secure-link402.in
ham,Happy Birthday bhai 🎉
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis Urgent! Click now or lose access."
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800HDFC http://secure-link608.in"
ham,Meeting at 4PM today bro. Confirm?
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access. http://secure-link826.in
ham,OTP for Paytm login: 94742. Do not share.
ham,Airtel Thanks: Bill paid Rs.499.
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC Urgent! Click now or lose access.
spam,🎉 Congratulations! You won ₹SBI lakh. Claim now: goo.gl/claim242 Share bank details http://secure-link875.in
ham,Bro where are you?
spam,Device infected! Call Microsoft 1800Axis now to fix. http://secure-link838.in
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill427.in Urgent! Click now or lose access.
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC Urgent! Click now or lose access.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobSBI Urgent! Click now or lose access. http://secure-link976.in
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link439.in
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftUnion (malware risk) Urgent! Click now or lose access.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion Urgent! Click now or lose access.
ham,Your Google verification code is 58968. Never share.
ham,OTP for Paytm login: 17150. Do not share.
ham,Meeting at 4PM today bro. Confirm?
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access. http://secure-link370.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis Urgent! Click now or lose access.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxSBI http://secure-link481.in
ham,Your Google verification code is 52535. Never share.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion Urgent! Click now or lose access.
ham,Happy Birthday bhai 🎉
spam,Papa accident. Transfer Rs.5000 urgently to this number. http://secure-link883.in
ham,Happy Birthday bhai 🎉
spam,Electricity bill overdue Rs.SBI. Pay now or power cut: pay.bill447.in Urgent! Click now or lose access. http://secure-link366.in
spam,New Year reward ₹1000 from Jio. Claim gift link
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access.
ham,Flipkart: Your package will arrive tomorrow.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftUnion (malware risk)
ham,Amazon order #AMZ40783 delivered successfully. Rate now.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankHDFC.in
spam,Device infected! Call Microsoft 1800SBI now to fix.
ham,OTP for Paytm login: 82689. Do not share.
spam,Your device has virus. Install this app to clean bit.ly/urgent
ham,Happy Birthday bhai 🎉
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankSBI.in Urgent! Click now or lose access.
ham,Happy Birthday bhai 🎉
spam,"Dear customer, your Axis account will be blocked today. Update KYC immediately: bit.ly/264. Do not ignore! Urgent! Click now or lose access."
ham,Amazon order #AMZ95283 delivered successfully. Rate now.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankUnion.in Urgent! Click now or lose access. http://secure-link976.in
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access. http://secure-link935.in
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyHDFC Urgent! Click now or lose access. http://secure-link555.in
spam,🎉 Congratulations! You won ₹HDFC lakh. Claim now: goo.gl/claim678 Share bank details Urgent! Click now or lose access.
ham,Airtel Thanks: Bill paid Rs.499.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access. http://secure-link902.in
spam,Income tax refund ₹25000 pending. Share PAN now
ham,Your Google verification code is 26287. Never share.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Income tax refund ₹25000 pending. Share PAN now
spam,"Dear customer, your HDFC account will be blocked today. Update KYC immediately: bit.ly/693. Do not ignore! Urgent! Click now or lose access."
spam,KYC registration of random person detected on your number. Verify: link
ham,Airtel Thanks: Bill paid Rs.499.
ham,Amazon order #AMZ13564 delivered successfully. Rate now.
spam,Amazon delivery failed. Call 1800HDFC or order cancelled. http://secure-link761.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion Urgent! Click now or lose access.
spam,Amazon delivery failed. Call 1800SBI or order cancelled.
spam,Amazon delivery failed. Call 1800Union or order cancelled. Urgent! Click now or lose access.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Meeting at 4PM today bro. Confirm?
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Your Google verification code is 90327. Never share.
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC Urgent! Click now or lose access.
ham,Meeting at 4PM today bro. Confirm?
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx
ham,Meeting at 4PM today bro. Confirm?
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis Urgent! Click now or lose access.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Meeting at 4PM today bro. Confirm?
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis Urgent! Click now or lose access. http://secure-link375.in"
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankSBI.in http://secure-link681.in
spam,Traffic challan Rs.Union. Pay or vehicle seized: paytm.me/ch447 Urgent! Click now or lose access.
ham,Your Google verification code is 31169. Never share.
ham,Your Google verification code is 14051. Never share.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxHDFC
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftUnion (malware risk)
ham,Amazon order #AMZ85048 delivered successfully. Rate now.
ham,OTP for Paytm login: 49631. Do not share.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Traffic challan Rs.SBI. Pay or vehicle seized: paytm.me/ch686 http://secure-link475.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Amazon order #AMZ73478 delivered successfully. Rate now.
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postAxis
spam,🎉 Congratulations! You won ₹Axis lakh. Claim now: goo.gl/claim415 Share bank details http://secure-link623.in
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankUnion.in http://secure-link855.in
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyHDFC
spam,KYC registration of random person detected on your number. Verify: link
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postUnion Urgent! Click now or lose access.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Happy Birthday bhai 🎉
ham,Meeting at 4PM today bro. Confirm?
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx
ham,Your Google verification code is 43598. Never share.
ham,UPI payment successful Rs.299
ham,OTP for Paytm login: 10522. Do not share.
ham,Bro where are you?
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankUnion.in Urgent! Click now or lose access. http://secure-link376.in
spam,Amazon delivery failed. Call 1800Axis or order cancelled. Urgent! Click now or lose access. http://secure-link452.in
ham,Airtel Thanks: Bill paid Rs.499.
spam,Device infected! Call Microsoft 1800Axis now to fix. Urgent! Click now or lose access.
spam,Electricity bill overdue Rs.Axis. Pay now or power cut: pay.bill936.in
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,KYC registration of random person detected on your number. Verify: link bit.ly/urgent
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Your Google verification code is 82233. Never share.
spam,"Dear customer, your Axis account will be blocked today. Update KYC immediately: bit.ly/523. Do not ignore!"
spam,New Year reward ₹1000 from Jio. Claim gift link bit.ly/urgent
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC Urgent! Click now or lose access.
ham,Happy Birthday bhai 🎉
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx
ham,Flipkart: Your package will arrive tomorrow.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankSBI.in http://secure-link705.in
spam,New Year reward ₹1000 from Jio. Claim gift link
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access. http://secure-link860.in
ham,Flipkart: Your package will arrive tomorrow.
ham,Happy Birthday bhai 🎉
ham,Happy Birthday bhai 🎉
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftAxis (malware risk)
spam,🎉 Congratulations! You won ₹HDFC lakh. Claim now: goo.gl/claim935 Share bank details Urgent! Click now or lose access.
spam,Papa accident. Transfer Rs.5000 urgently to this number.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Meeting at 4PM today bro. Confirm?
ham,Happy Birthday bhai 🎉
spam,Electricity bill overdue Rs.Axis. Pay now or power cut: pay.bill601.in Urgent! Click now or lose access. http://secure-link145.in
ham,OTP for Paytm login: 35816. Do not share.
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC
